TopScore;Date
2214;1605267599289
2214;1605267599289
2214;1605267599289
2214;1605267599289
2214;1605267599289
2214;1605267599289
2214;1605267599289
2214;1605267599289
2214;1605267599289
2214;1605267599289
2214;1605267599289
2214;1605267599289
2214;1605267599289
2214;1605267599289
2214;1605267599289
2214;1605267599289
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
2198;1605266691236
225;1605267535018
225;1605267535018
225;1605267535018
225;1605267535018
225;1605267535018
225;1605267535018
225;1605267535018
225;1605267535018
225;1605267535018
225;1605267535018
225;1605267535018
225;1605267535018
225;1605267535018
225;1605267535018
225;1605267535018
225;1605267535018
215;1605266835488
215;1605266835488
215;1605266835488
215;1605266835488
215;1605266835488
215;1605266835488
215;1605266835488
215;1605266835488
215;1605266835488
215;1605266835488
215;1605266835488
215;1605266835488
215;1605266835488
215;1605266835488
215;1605266835488
215;1605266835488
207;1605266853194
207;1605266853194
207;1605266853194
207;1605266853194
207;1605266853194
207;1605266853194
207;1605266853194
207;1605266853194
207;1605266853194
207;1605266853194
207;1605266853194
207;1605266853194
207;1605266853194
207;1605266853194
207;1605266853194
207;1605266853194
196;1605271916671
196;1605271916671
196;1605271916671
196;1605271916671
196;1605271916671
196;1605271916671
196;1605271916671
196;1605271916671
196;1605271916671
196;1605271916671
196;1605271916671
196;1605271916671
196;1605271916671
196;1605271916671
196;1605271916671
196;1605271916671
189;1605266741223
189;1605266742047
189;1605266741223
189;1605266741223
189;1605266742047
189;1605266741223
189;1605266741223
189;1605266742047
189;1605266741223
189;1605266741223
189;1605266742047
189;1605266741223
189;1605266741223
189;1605266742047
189;1605266741223
189;1605266741223
189;1605266742047
189;1605266741223
189;1605266741223
189;1605266742047
189;1605266741223
189;1605266741223
189;1605266742047
189;1605266741223
189;1605266741223
189;1605266742047
189;1605266741223
189;1605266741223
189;1605266742047
189;1605266741223
189;1605266741223
189;1605266742047
189;1605266741223
189;1605266741223
189;1605266742047
189;1605266741223
189;1605266741223
189;1605266742047
189;1605266741223
189;1605266741223
189;1605266742047
189;1605266741223
189;1605266741223
189;1605266742047
189;1605266741223
189;1605266741223
189;1605266742047
189;1605266741223
175;1605268290661
175;1605268290661
175;1605268290661
175;1605268290661
175;1605268290661
175;1605268290661
175;1605268290661
175;1605268290661
175;1605268290661
175;1605268290661
175;1605268290661
175;1605268290661
175;1605268290661
175;1605268290661
175;1605268290661
175;1605268290661
126;1605267546116
126;1605267546116
126;1605267546116
126;1605267546116
126;1605267546116
126;1605267546116
126;1605267546116
126;1605267546116
126;1605267546116
126;1605267546116
126;1605267546116
126;1605267546116
126;1605267546116
126;1605267546116
126;1605267546116
126;1605267546116
125;1605267559874
125;1605267553441
125;1605267559874
125;1605267553441
125;1605267559874
125;1605267553441
125;1605267559874
125;1605267553441
125;1605267559874
125;1605267553441
125;1605267559874
125;1605267553441
125;1605267559874
125;1605267553441
125;1605267559874
125;1605267553441
125;1605267559874
125;1605267553441
125;1605267559874
125;1605267553441
125;1605267559874
125;1605267553441
125;1605267559874
125;1605267553441
125;1605267559874
125;1605267553441
125;1605267559874
125;1605267553441
125;1605267559874
125;1605267553441
125;1605267559874
125;1605267553441
124;1605267615613
124;1605267565595
124;1605267615613
